brand,name,price_old,price_new,seller,rating,number_rating,frete_gratis,full,entrega_rapida,entrega_mesmo_dia,desconto,percentual_desconto
LAYS CAVALCANTE FITNESS,Kit 3 Blusas Tule Treino Camisão Academia Fitness,99.0,69.0,vendedor não identificado,4.8,6.0,False,False,False,False,30.0,30.3
CALVIN KLEIN,Kit 3 Cuecas Low Rise Trunk Classic Calvin Klein,166.0,143.0,Por Mercado Livre ,4.9,111.0,True,True,False,False,23.0,13.9
CALVIN KLEIN,Camiseta Calvin Klein Jeans Masculina Light New Logo Preta,249.0,139.0,Por Secret Outlet ,4.8,43.0,True,True,False,False,110.0,44.2
SKECHERS,Tênis Feminino Skechers Vapor Foam,499.0,379.0,Por Mercado Livre ,,,True,True,False,False,120.0,24.0
TERMOLAR,Caixa Termica Suv Cooler Com Alça 20 Litros Praia Pesca Camping Cor Amarelo E Preto Termolar,92.0,58.0,Por Ismafer Ferramentas ,4.8,225.0,False,False,True,False,34.0,37.0
OZ,Oz Passadeira A Vapor Portátil Vaporizador De Roupa Vapor Fast Portátil 127v Cor Preto Pv6900,169.0,106.0,Por Ismafer Ferramentas ,4.4,346.0,False,False,True,False,63.0,37.3
OLYMPIKUS,Tênis Only 2 Masculino Olympikus,199.0,155.0,Por Mercado Livre ,4.8,5009.0,False,True,True,False,44.0,22.1
KENDALL,Meia 3/4 Masculina Média Compressão Kendall,185.0,109.0,Por Kendall ,4.8,338.0,False,True,True,False,76.0,41.1
GENÉRICO,Kit 4 Camisas Polo Masculina Linha Exclusiva,214.0,122.0,vendedor não identificado,,,False,False,True,False,92.0,43.0
CALVIN KLEIN,Kit 3 Cuecas Boxer Masculina Trunk Cotton Rib Calvin Klein,289.0,173.0,Por Mercado Livre ,4.4,17.0,False,True,True,False,116.0,40.1
ADIDAS,Tênis Casual Feminino Advantage Base 2.0 adidas,299.0,172.0,Por adidas ,5.0,1.0,True,True,False,False,127.0,42.5
CALVIN KLEIN,Kit Com 2 Cuecas Boxer Masculina Modern Cotton Calvin Klein,169.0,94.0,Por Mercado Livre ,4.9,37.0,False,True,True,False,75.0,44.4
ATACADÃO DA MODA INTIMA,Kit 3 Pijama Short Dool Baby Micro Estampado,49.0,42.0,vendedor não identificado,3.5,935.0,False,True,False,False,7.0,14.3
OLYMPIKUS,Tênis Only 2 Masculino Olympikus,199.0,155.0,Por Mercado Livre ,4.8,5009.0,False,True,True,False,44.0,22.1
GENÉRICA,Vestido Infantil Menina Longo Evangélico 3 Marias Luxo ,78.0,68.0,vendedor não identificado,4.8,863.0,False,True,False,False,10.0,12.8
ADIDAS,Chuteira Predator League Society adidas,599.0,341.0,Por adidas ,,,True,True,False,False,258.0,43.1
PEGADA,Sapato Masculino Pegada Monk Em Couro,249.0,173.0,Por Mercado Livre ,4.4,11.0,True,True,False,False,76.0,30.5
ALIANZA,Calça Jeans Feminina Com Elástico Na Cintura,104.0,99.0,vendedor não identificado,4.4,202.0,False,False,True,False,5.0,4.8
KÉRASTASE,Nutritive Nectar Thermique Leave-in 150ml | Kérastase,329.0,220.0,Por Kerastase ,4.8,413.0,True,True,False,False,109.0,33.1
ADIDAS,Chuteira Masculina Society Predator League adidas,599.0,307.0,Por adidas ,,,False,True,True,False,292.0,48.7
OLYMPIKUS,Tênis Only 2 Masculino Olympikus,199.0,155.0,Por Olympikus ,4.8,5009.0,False,True,True,False,44.0,22.1
UNDER ARMOUR,Tênis Masculino Tribase Reps Under Armour,449.0,337.0,Por Mercado Livre ,4.8,206.0,False,True,True,False,112.0,24.9
